catcher_id,subscription_sum,subscription_count,currency
1013,396.0,4,0
1014,0.0,1,0
1015,99.0,1,0
1017,99.0,1,0
1018,396.0,4,0
1019,594.0,6,0
1020,990.0,10,0
1021,99.0,1,0
1022,99.0,1,0
1023,99.0,1,0
1024,198.0,2,0
1025,2376.0,24,0
1026,99.0,1,0
1027,198.0,2,0
1028,99.0,1,0
1029,99.0,1,0
1030,99.0,1,0
1033,297.0,3,0
1034,99.0,1,0
1035,99.0,1,0
1036,99.0,1,0
1037,99.0,1,0
1038,99.0,1,0
1039,99.0,1,0
1040,99.0,1,0
1041,99.0,1,0
1042,297.0,3,0
1044,408.0,5,0
1045,198.0,3,0
1047,99.0,1,0
1048,543.0,4,0
1049,396.0,5,0
1051,0.0,1,0
1057,50.0,2,0
1058,99.0,1,0
1059,0.0,1,0
1060,99.0,1,0
1061,0.0,1,0
1062,99.0,2,0
1063,0.0,1,0
1064,99.0,1,0
1065,99.0,1,0
1066,99.0,1,0
1067,99.0,1,0
1068,99.0,1,0
1069,99.0,1,0
1070,99.0,1,0
1071,99.0,1,0
1072,99.0,1,0
1073,99.0,1,0
1074,99.0,1,0
1081,99.0,1,0
1082,99.0,1,0
1083,99.0,1,0
1084,99.0,1,0
1085,99.0,1,0
1086,99.0,1,0
1087,99.0,1,0
1088,99.0,1,0
1089,99.0,1,0
1090,99.0,1,0
1091,99.0,1,0
1092,99.0,1,0
1093,99.0,1,0
1094,99.0,1,0
1095,99.0,1,0
1096,99.0,1,0
1097,99.0,1,0
1098,99.0,1,0
1099,99.0,1,0
1100,99.0,1,0
1101,99.0,1,0
1102,99.0,1,0
1103,99.0,1,0
1104,99.0,1,0
1105,99.0,1,0
1107,99.0,1,0
1109,99.0,1,0
1110,99.0,1,0
1111,99.0,1,0
1112,99.0,1,0
1113,99.0,1,0
1114,99.0,1,0
1115,99.0,1,0
1116,99.0,1,0
1117,99.0,1,0
1118,99.0,1,0
1119,99.0,1,0
1120,99.0,1,0
1121,99.0,1,0
1122,99.0,1,0
1123,99.0,1,0
1124,99.0,1,0
1125,99.0,1,0
1126,99.0,1,0
1127,99.0,1,0
1128,99.0,1,0
1129,198.0,2,0
1130,99.0,1,0
1131,99.0,1,0
1132,99.0,1,0
1133,99.0,1,0
1134,99.0,1,0
1135,99.0,1,0
1137,99.0,1,0
1138,99.0,1,0
1139,99.0,1,0
1140,99.0,1,0
1141,99.0,1,0
1142,99.0,1,0
1143,99.0,1,0
1144,99.0,1,0
1145,99.0,1,0
1146,396.0,4,0
1147,198.0,2,0
1148,99.0,1,0
1149,396.0,4,0
1150,495.0,5,0
1151,99.0,1,0
1152,99.0,1,0
1153,99.0,1,0
1154,99.0,1,0
1155,99.0,1,0
1156,198.0,2,0
1157,99.0,1,0
1158,99.0,1,0
1159,99.0,1,0
1160,99.0,1,0
1161,99.0,1,0
1162,99.0,1,0
1163,99.0,1,0
1164,99.0,1,0
1165,99.0,1,0
1166,99.0,1,0
1167,99.0,1,0
1168,99.0,1,0
1169,99.0,1,0
1170,0.0,1,0
1171,0.0,1,0
1172,0.0,1,0
1174,0.0,1,0
1177,0.0,1,0
1178,0.0,1,0
1179,99.0,1,0
1181,99.0,1,0
1182,99.0,1,0
1183,99.0,1,0
1184,99.0,1,0
1185,0.0,1,0
1186,99.0,1,0
1187,0.0,1,0
1188,0.0,1,0
1189,99.0,1,0
1190,0.0,1,0
1191,0.0,1,0
